91041166;1057220382;1057220176;
91041166;1057220176;1057220614;
91041166;1057220614;1057220315;
91041166;1057220315;1057220647;
91041166;1057220647;1057220396;
91041166;1057220396;1057219955;
91041166;1057219955;1057220129;
91041166;1057220129;1057220502;
91041166;1057220502;1057220264;
91041166;1057220264;1057220063;
91041166;1057220063;1057220435;
91041166;1057220435;1057220445;
91041153;1057220264;1057220084;
91041153;1057220084;1057220458;
91041153;1057220458;1057220143;
91041153;1057220143;1057220543;
91041153;1057220543;1057219937;
91041153;1057219937;1057220303;
91041153;1057220303;1057220031;
91041153;1057220031;1057220391;
91041153;1057220391;1057219962;
91041153;1057219962;1412143169;
96805248;1057220435;1121569657;
96805246;1121569657;1121569642;
96805246;1121569642;1121569650;
96805246;1121569650;1070913158;
91041174;1057220405;1057220011;
91041174;1057220011;1057220360;
91041174;1057220360;1057220068;
91041174;1057220068;1057220440;
91041174;1057220440;1057220449;
91041174;1057220449;1057220019;
91041174;1057220019;1057220512;
91041174;1057220512;1057220458;
96805255;1070852552;1121569668;
96805255;1121569668;1121569657;
89982933;1043134877;1043135149;
89982933;1043135149;1370569598;
89982933;1370569598;1043135049;
89982933;1043135049;1043134943;
89982933;1043134943;1043135199;
89982933;1043135199;1043135283;
89982933;1043135283;1043135027;
89982933;1043135027;1412143274;
89982933;1412143274;1043134803;
89982933;1043134803;1043135191;
127883027;1414416682;1070913158;
127883027;1070913158;1057220031;
122727638;1070852552;1414416682;
122727638;1414416682;1370581291;
122727638;1370581291;1370581289;
122727638;1370581289;1370581282;
122727638;1370581282;1370581280;
122727638;1370581280;1370581734;
122727638;1370581734;1370581281;
122727638;1370581281;1370581285;
122727638;1370581285;1370581277;
122727638;1370581277;1370581287;
122727638;1370581287;1370581276;
122727638;1370581276;1370581274;
122727638;1370581274;1370581283;
