1;41.14646;-8.604161;-0.1501709;0.7181411
2;41.14755;-8.607907;-0.1502363;0.7181602
3;41.14728;-8.60811;-0.1502399;0.7181555
4;41.14704;-8.606872;-0.1502182;0.7181513
5;41.14615;-8.607109;-0.1502224;0.7181358
6;41.14702;-8.606792;-0.1502169;0.718151
7;41.14727;-8.608047;-0.1502388;0.7181553
8;41.14739;-8.608653;-0.1502493;0.7181575
9;41.14755;-8.607938;-0.1502369;0.7181603
10;41.14751;-8.607852;-0.1502354;0.7181595
11;41.14745;-8.60755;-0.1502301;0.7181584
12;41.14748;-8.60754;-0.1502299;0.718159
13;41.14699;-8.606639;-0.1502142;0.7181504
14;41.14694;-8.606501;-0.1502118;0.7181495
15;41.14724;-8.607942;-0.1502369;0.7181548
